date,time,node,role,site,utilization_pct,latency_ms,jitter_ms,packet_loss_pct,errors,bgp_events,ospf_events,route_changes,tunnel_state,tunnel_loss_pct,tunnel_latency_ms,rekey_count,flow_bytes,flow_packets,application_type,voice_latency_ms,video_packet_loss,erp_response_time_ms,database_latency_ms,application_traffic_drop_pct,severity,affected_nodes,affected_sites,affected_service,fault_id,network_state,future_fault_type,time_to_impact_minutes,recovery_time_minutes
2024-01-01,00:00:00,ce-br5,CE,branch5,49.54,9.722,0.997,0.0017,1,0,0,0,1,0.0717,2.927,0,43292067,31541,VIDEO,16.618,0.0318,96.647,3.927,0.7296,low,"[""ce-br5""]","[""branch5""]","[""VIDEO""]",F000,normal,normal,0,0
2024-01-01,00:00:00,ce-dc1,CE,dc1,30.12,4.912,2.03,0.0418,0,0,0,0,1,0.0399,6.114,0,30028313,3276,DATABASE,22.151,0.0853,59.758,9.54,0.9656,low,"[""ce-dc1""]","[""dc1""]","[""DATABASE""]",F000,normal,normal,0,0
2024-01-01,00:00:00,ce-hub1,CE,hub1,43.29,5.046,0.744,0.2053,0,0,0,0,1,0.1819,4.07,0,33463591,16273,ERP,20.401,0.2734,77.728,9.726,0.7751,medium,"[""ce-hub1""]","[""hub1""]","[""ERP""]",F000,normal,normal,0,0
2024-01-01,00:00:00,p-core2,P,dc1,47.88,10.948,1.995,0.2766,0,0,0,0,1,0.0777,4.171,0,41608137,18480,WEB,15.619,0.2713,71.139,8.22,0.0746,medium,"[""p-core2""]","[""dc1""]","[""WEB""]",F000,normal,normal,0,0
2024-01-01,00:00:00,pe-hub2,PE,hub2,37.31,10.872,1.681,0.0359,1,0,0,0,1,0.1045,5.42,0,2245537,6286,VIDEO,10.629,0.3182,97.153,5.577,0.9076,low,"[""pe-hub2""]","[""hub2""]","[""VIDEO""]",F000,normal,normal,0,0
2024-01-01,00:01:00,ce-br1,CE,branch1,23.73,6.104,2.389,0.0686,0,0,0,1,1,0.1267,8.972,0,40379931,10141,VOICE,27.851,0.2697,171.116,9.065,0.318,low,"[""ce-br1""]","[""branch1""]","[""VOICE""]",F000,normal,normal,0,0
2024-01-01,00:01:00,ce-br2,CE,branch2,23.81,6.972,1.252,0.0855,0,0,0,0,1,0.0557,9.266,0,12738532,8099,ERP,19.789,0.4928,86.308,7.049,0.7616,low,"[""ce-br2""]","[""branch2""]","[""ERP""]",F000,normal,normal,0,0
2024-01-01,00:01:00,ce-br5,CE,branch5,18.85,4.279,1.568,0.2454,1,0,0,0,1,0.024,4.701,0,47202575,16836,VIDEO,20.376,0.3515,104.544,9.746,0.9624,low,"[""ce-br5""]","[""branch5""]","[""VIDEO""]",F000,normal,normal,0,0
2024-01-01,00:01:00,ce-dc1,CE,dc1,23.32,9.282,1.419,0.1897,1,0,0,0,1,0.0373,2.326,0,29953754,34200,ERP,10.332,0.256,83.974,6.807,0.1744,low,"[""ce-dc1""]","[""dc1""]","[""ERP""]",F000,normal,normal,0,0
2024-01-01,00:01:00,pe-hub2,PE,hub2,39.18,5.867,2.842,0.0413,0,0,1,0,1,0.132,8.538,0,28204839,26952,VIDEO,14.837,0.0466,184.582,9.104,0.6331,low,"[""pe-hub2""]","[""hub2""]","[""VIDEO""]",F000,normal,normal,0,0
2024-01-01,00:02:00,ce-br3,CE,branch3,26.87,5.492,2.315,0.2691,2,0,0,0,1,0.1213,2.074,0,5972105,33511,DATABASE,10.101,0.0804,132.31,7.227,0.652,medium,"[""ce-br3""]","[""branch3""]","[""DATABASE""]",F000,normal,normal,0,0
2024-01-01,00:02:00,ce-dc1,CE,dc1,22.85,9.122,1.093,0.0976,1,0,0,0,1,0.0187,4.942,0,13994916,12955,VOICE,29.46,0.1965,183.807,6.68,0.7948,low,"[""ce-dc1""]","[""dc1""]","[""VOICE""]",F000,normal,normal,0,0
2024-01-01,00:02:00,ce-hub1,CE,hub1,32.59,7.769,1.731,0.0586,1,0,0,0,1,0.1881,9.631,0,45828355,19137,VIDEO,10.309,0.4642,114.228,9.7,0.9636,low,"[""ce-hub1""]","[""hub1""]","[""VIDEO""]",F000,normal,normal,0,0
